name,position,team,xP,minutes,starts,total_points,value,gw
Matheus França de Oliveira,MID,Crystal Palace,0.0,0,0,0,45,1
Matheus Luiz Nunes,MID,Man City,2.6,0,0,0,50,1
Matheus Santos Carneiro Da Cunha,FWD,Wolves,1.1,33,0,1,65,1
Mathias Jensen,MID,Brentford,2.0,83,1,2,55,1
Mathias Jorgensen,DEF,Brentford,0.0,0,0,0,45,1
Mats Wieffer,MID,Brighton,1.6,90,1,6,50,1
Matt Doherty,DEF,Wolves,0.9,90,1,1,45,1
Matt Targett,DEF,Newcastle,0.5,0,0,0,40,1
Matt Turner,GK,Nott'm Forest,1.0,0,0,0,40,1
Matthijs de Ligt,DEF,Man Utd,2.4,9,0,1,50,1
Matty Cash,DEF,Aston Villa,1.9,81,1,2,45,1
Matz Sels,GK,Nott'm Forest,2.2,90,1,3,45,1
Max Aarons,DEF,Bournemouth,1.9,0,0,0,45,1
