name,position,team,xP,minutes,starts,total_points,value,gw
Ibrahima Konaté,DEF,Liverpool,3.4,45,0,1,50,1
Chadi Riad Dnanou,DEF,Crystal Palace,1.9,0,0,0,45,1
Freddie Ladapo,FWD,Ipswich,0.0,0,0,0,45,1
Levi Colwill,DEF,Chelsea,0.9,90,1,1,45,1
Nick Pope,GK,Newcastle,4.1,90,1,9,50,1
Jorge Luiz Frello Filho,MID,Arsenal,2.6,0,0,0,50,1
Luke Woolfenden,DEF,Ipswich,0.0,90,1,0,40,1
Łukasz Fabiański,GK,West Ham,1.0,0,0,0,40,1
Idrissa Gueye,MID,Everton,1.6,90,1,2,50,1
Joe Gomez,DEF,Liverpool,3.4,0,0,0,50,1
Dominic Calvert-Lewin,FWD,Everton,2.0,75,1,2,60,1
Yerson Mosquera,DEF,Wolves,0.0,90,1,1,40,1
Konstantinos Tsimikas,DEF,Liverpool,3.4,11,0,1,50,1
Christian Nørgaard,MID,Brentford,1.6,90,1,2,50,1
Emiliano Martínez Romero,GK,Aston Villa,3.1,90,1,3,50,1
Declan Rice,MID,Arsenal,3.3,84,1,3,65,1
Dejan Kulusevski,MID,Spurs,2.8,11,0,1,65,1
Pascal Groß,MID,Brighton,0.0,0,0,0,65,1
Gabriel dos Santos Magalhães,DEF,Arsenal,4.2,90,1,6,60,1
Cody Gakpo,FWD,Liverpool,3.4,11,0,0,75,1
Mohammed Kudus,MID,West Ham,2.3,90,1,2,65,1
Benicio Baker-Boaitey,MID,Brighton,0.0,0,0,0,45,1
Vitaly Janelt,MID,Brentford,1.6,73,1,2,50,1
Adama Traoré,MID,Fulham,1.6,77,1,3,50,1
Alexis Mac Allister,MID,Liverpool,3.3,90,1,3,65,1
Endo Wataru,MID,Liverpool,2.6,0,0,0,50,1
João Pedro Ferreira Silva,MID,Nott'm Forest,2.2,0,0,0,60,1
Ashley Phillips,DEF,Spurs,1.5,0,0,0,40,1
Keane Lewis-Potter,MID,Brentford,1.6,16,0,1,50,1
Ben Johnson,DEF,Ipswich,0.0,33,0,0,40,1
Michael Golding,MID,Leicester,0.5,0,0,0,45,1
Remi Matthews,GK,Crystal Palace,1.0,0,0,0,40,1
Alfie Gilchrist,DEF,Chelsea,0.0,0,0,0,40,1
Nayef Aguerd,DEF,West Ham,1.9,0,0,0,45,1
Emile Smith Rowe,MID,Fulham,2.0,63,1,3,55,1
Enes Ünal,FWD,Bournemouth,0.0,0,0,0,55,1
Lucas Bergström,GK,Chelsea,0.0,0,0,0,40,1
Kacper Kozłowski,MID,Brighton,0.0,0,0,0,45,1
Axel Tuanzebe,DEF,Ipswich,0.0,73,1,1,40,1
Gabriel Fernando de Jesus,FWD,Arsenal,3.2,5,0,0,70,1
Iliman Ndiaye,FWD,Everton,1.7,27,0,1,55,1
David Raya Martin,GK,Arsenal,5.0,90,1,8,55,1
Enso González,MID,Wolves,0.0,0,0,0,45,1
Archie Gray,MID,Spurs,2.1,12,0,1,50,1
Christopher Nkunku,MID,Chelsea,1.3,57,1,1,65,1
Manuel Akanji,DEF,Man City,3.8,90,1,6,55,1
Ryan Gravenberch,MID,Liverpool,2.6,90,1,3,50,1
Joe Willock,MID,Newcastle,2.6,0,0,0,50,1
Mark Flekken,GK,Brentford,2.2,90,1,4,45,1
Lewis Cook,MID,Bournemouth,1.6,83,1,1,50,1
Alex Iwobi,MID,Fulham,2.0,90,1,2,55,1
Ethan Nwaneri,MID,Arsenal,2.0,0,0,0,45,1
Ross Stewart,FWD,Southampton,0.0,0,0,0,45,1
Matt Doherty,DEF,Wolves,0.9,90,1,1,45,1
Alejo Véliz,FWD,Spurs,0.0,0,0,0,50,1
Isaac Hayden,MID,Newcastle,2.0,0,0,0,45,1
Wilson Odobert,MID,Spurs,2.5,0,0,0,55,1
Conor Bradley,DEF,Liverpool,3.4,13,0,1,50,1
Tom Cairney,MID,Fulham,1.6,26,0,0,50,1
Jarell Quansah,DEF,Liverpool,2.9,45,1,1,45,1
Jacob Ramsey,MID,Aston Villa,2.0,28,0,4,55,1
Emiliano Buendía Stati,MID,Aston Villa,2.0,0,0,0,55,1
James McAtee,MID,Man City,2.6,0,0,0,50,1
Andrew Robertson,DEF,Liverpool,4.2,78,1,6,60,1
Luke Harris,MID,Fulham,0.0,0,0,0,45,1
Youri Tielemans,MID,Aston Villa,2.0,90,1,7,55,1
João Neves Virgínia,GK,Everton,1.0,0,0,0,40,1
Oleksandr Zinchenko,DEF,Arsenal,3.4,68,1,6,50,1
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,6,0,1,45,1
Ederson Santana de Moraes,GK,Man City,5.0,90,1,8,55,1
Andrew Omobamidele,DEF,Nott'm Forest,1.9,0,0,0,45,1
Norberto Bercique Gomes Betuncal,FWD,Everton,1.4,14,0,1,50,1
Diogo Dalot Teixeira,DEF,Man Utd,2.4,90,1,7,50,1
Pape Matar Sarr,MID,Spurs,2.1,77,1,2,50,1
Danny Welbeck,FWD,Brighton,1.7,90,1,12,55,1
Yankuba Minteh,MID,Brighton,2.0,45,1,4,55,1
Nathan Aké,DEF,Man City,3.8,0,0,0,55,1
Bernd Leno,GK,Fulham,3.1,90,1,3,50,1
Jamaal Lascelles,DEF,Newcastle,0.0,0,0,0,45,1
Axel Disasi,DEF,Chelsea,0.9,0,0,0,45,1
Kevin Schade,MID,Brentford,2.0,73,1,2,55,1
Victor Kristiansen,DEF,Leicester,1.4,90,1,2,45,1
Kyle Walker-Peters,DEF,Southampton,0.9,80,1,2,45,1
Daniel Bentley,GK,Wolves,0.0,0,0,0,40,1
Ivan Toney,FWD,Brentford,2.4,0,0,0,75,1
Antonee Robinson,DEF,Fulham,1.9,90,1,2,45,1
Romain Faivre,MID,Bournemouth,1.6,0,0,0,50,1
James Ward-Prowse,MID,West Ham,2.3,16,0,1,65,1
Patson Daka,FWD,Leicester,0.0,0,0,0,50,1
Illia Zabarnyi,DEF,Bournemouth,1.9,90,1,2,45,1
Gavin Bazunu,GK,Southampton,1.2,0,0,0,45,1
Sven Botman,DEF,Newcastle,0.0,0,0,0,45,1
Hugo Bueno López,DEF,Wolves,0.0,0,0,0,45,1
Danny Ward,GK,Leicester,0.5,0,0,0,40,1
Samuel Amo-Ameyaw,MID,Southampton,0.0,9,0,1,45,1
Joe Gauci,GK,Aston Villa,1.0,0,0,0,40,1
João Pedro Junqueira de Jesus,FWD,Brighton,1.7,81,1,2,55,1
Justin Kluivert,MID,Bournemouth,2.0,26,0,0,55,1
Martin Dúbravka,GK,Newcastle,3.2,0,0,0,45,1
Flynn Downes,MID,Southampton,0.6,90,1,2,50,1
Alejandro Garnacho,MID,Man Utd,2.3,29,0,4,65,1
Ronnie Edwards,DEF,Southampton,0.0,0,0,0,40,1
Edson Álvarez Velázquez,MID,West Ham,0.4,0,0,0,50,1
Jack Grealish,MID,Man City,2.5,0,0,0,65,1
Marcus Myers-Harness,MID,Ipswich,0.6,25,0,1,50,1
Jack Taylor,MID,Ipswich,0.6,25,0,1,50,1
Simon Adingra,MID,Brighton,2.0,45,0,6,55,1
Ben Mee,DEF,Brentford,1.9,1,0,1,45,1
