player_name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw
Thomas Wilson-Brown,a,,,4.0,0,0.0,0.0,23
Woyo Coulibaly,a,,,4.0,1,0.5,0.5,23
Ruud van Nistelrooij,a,,,0.5,8,1.0,1.0,23
Alisson Ramses Becker,a,100.0,100.0,5.5,2,8.5,4.5,23
Trent Alexander-Arnold,a,100.0,100.0,7.4,5,10.5,5.5,23
Stefan Bajčetić Maquieira,u,0.0,0.0,4.5,0,0.0,0.0,23
Conor Bradley,a,100.0,100.0,4.7,0,1.9,1.2,23
Bobby Clark,u,0.0,0.0,4.5,0,0.0,0.0,23
Darwin Núñez Ribeiro,d,75.0,100.0,7.0,1,5.6,4.0,23
Diogo Teixeira da Silva,d,75.0,0.0,7.2,0,4.1,0.0,23
Harvey Elliott,a,100.0,100.0,5.2,1,4.5,2.5,23
Endo Wataru,a,,,4.6,1,1.9,1.2,23
Cody Gakpo,a,,,7.6,16,14.5,7.5,23
Joe Gomez,d,75.0,0.0,4.7,0,1.1,0.0,23
Ryan Gravenberch,a,,,5.0,3,6.5,3.5,23
Henry Cartwright,a,,,4.5,0,0.0,0.0,22
João Neves Virgínia,a,,,3.9,0,-1.0,0.0,23
Kevin Mbabu,u,0.0,0.0,4.0,0,0.0,0.0,23
Curtis Jones,d,25.0,0.0,5.3,0,0.9,0.0,23
Caoimhin Kelleher,a,,,4.0,0,1.5,1.0,23
Ibrahima Konaté,a,100.0,100.0,5.2,5,8.5,4.5,23
Luis Díaz,a,100.0,100.0,7.5,3,5.5,3.0,23
Mohamed Salah,a,,,13.7,8,11.5,6.0,23
Alexis Mac Allister,a,100.0,100.0,6.2,3,10.5,5.5,23
James McConnell,a,100.0,100.0,4.4,0,1.5,1.0,23
Tyler Morton,a,100.0,100.0,4.4,0,1.5,1.0,23
Jarell Quansah,a,100.0,100.0,3.9,0,1.5,1.0,23
Andrew Robertson,a,,,5.9,2,4.5,2.5,23
Dominik Szoboszlai,a,100.0,100.0,6.3,13,9.9,5.2,23
Konstantinos Tsimikas,a,100.0,100.0,4.6,0,5.9,3.2,23
Virgil van Dijk,a,,,6.4,2,7.1,3.8,23
Federico Chiesa,a,100.0,100.0,6.8,1,2.5,1.5,23
Vítezslav Jaros,a,,,4.0,0,1.5,1.0,23
Harvey Davies,a,,,4.0,0,1.5,1.0,23
Treymaurice Nyoni,a,,,4.5,0,1.5,1.0,23
Amara Nallo,a,,,4.0,0,1.5,1.0,23
Jayden Danns,a,,,4.5,1,1.9,1.2,23
Arne Slot,a,,,1.5,10,9.5,5.0,23
Manuel Akanji,a,100.0,100.0,5.3,2,2.8,2.8,23
Nathan Aké,i,0.0,0.0,5.3,0,0.0,0.0,23
Bobby Clark,u,0.0,0.0,4.5,0,0.0,0.0,20
Thomas Partey,a,100.0,100.0,4.9,2,3.5,4.5,35
Kieran Tierney,a,100.0,100.0,4.3,0,2.0,3.0,35
Wanya Marçal-Madivádua,u,0.0,0.0,4.5,0,0.0,0.0,22
Bernardo Veiga de Carvalho e Silva,a,,,6.2,1,1.2,1.2,23
