name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw,position,team,xP,minutes,starts,total_points,value
Ethan Brierley,a,,,4.5,0,-1.0,0.5,3,MID,Brentford,0.5,0,0,0,45
Nathan Collins,a,,,4.5,5,3.0,4.5,3,DEF,Brentford,4.5,90,1,5,45
Mikkel Damsgaard,a,,,5.0,3,0.7,2.2,3,MID,Brentford,2.2,81,1,3,50
Josh Dasilva,i,0.0,0.0,4.9,0,0.0,0.0,3,MID,Brentford,0.0,0,0,0,49
Mark Flekken,a,,,4.5,3,2.3,3.8,3,GK,Brentford,3.8,90,1,3,45
Rico Henry,d,25.0,25.0,4.4,0,-0.2,0.1,3,DEF,Brentford,0.1,0,0,0,44
Aaron Hickey,i,0.0,0.0,4.4,0,0.0,0.0,3,DEF,Brentford,0.0,0,0,0,45
Vitaly Janelt,a,,,4.9,3,1.3,2.8,3,MID,Brentford,2.8,74,1,3,50
Mathias Jensen,a,,,5.5,6,2.0,3.5,3,MID,Brentford,3.5,90,1,6,55
Kim Ji-soo,a,,,4.0,0,-1.0,0.5,3,DEF,Brentford,0.5,0,0,0,40
Yunus Emre Konak,a,,,4.5,0,-1.0,0.5,3,MID,Brentford,0.5,0,0,0,45
Keane Lewis-Potter,a,,,5.0,1,0.3,1.8,3,MID,Brentford,1.8,15,0,1,50
Bryan Mbeumo,a,,,7.1,14,7.0,8.5,3,MID,Brentford,8.5,90,1,14,70
Ben Mee,a,,,4.4,0,-0.7,0.8,3,DEF,Brentford,0.8,0,0,0,45
Christian Nørgaard,a,,,5.0,2,0.7,2.2,3,MID,Brentford,2.2,90,1,2,50
Frank Onyeka,u,0.0,0.0,4.9,0,0.0,0.0,3,MID,Brentford,0.0,0,0,0,49
Myles Peart-Harris,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Brentford,0.0,0,0,0,45
Ethan Pinnock,a,,,4.5,1,-0.3,1.2,3,DEF,Brentford,1.2,90,1,1,45
Mads Roerslev Rasmussen,a,,,4.5,1,0.3,1.8,3,DEF,Brentford,1.8,51,0,1,45
Kevin Schade,a,,,5.5,6,2.0,3.5,3,MID,Brentford,3.5,74,1,6,55
Igor Thiago Nascimento Rodrigues,i,0.0,0.0,5.9,0,0.0,0.0,3,FWD,Brentford,0.0,0,0,0,59
Ivan Toney,u,0.0,0.0,7.3,0,0.0,0.0,3,FWD,Brentford,0.0,0,0,0,73
Hákon Valdimarsson,a,,,4.0,0,-1.0,0.5,3,GK,Brentford,0.5,0,0,0,40
Yoane Wissa,a,,,6.1,8,6.0,7.5,3,FWD,Brentford,7.5,90,1,8,61
Yehor Yarmoliuk,a,,,4.5,0,-1.0,0.5,3,MID,Brentford,0.5,0,0,0,45
Mathias Jorgensen,u,0.0,0.0,4.5,0,0.0,0.0,3,DEF,Brentford,0.0,0,0,0,45
Fábio Freitas Gouveia Carvalho,a,,,4.9,1,0.0,1.5,3,MID,Brentford,1.5,8,0,1,49
Sepp van den Berg,a,,,4.0,1,-0.7,0.8,3,DEF,Brentford,0.8,15,0,1,40
Ryan Trevitt,a,,,4.5,0,-1.0,0.5,3,MID,Brentford,0.5,0,0,0,45
Gustavo Nunes Fernandes Gomes,a,,,5.0,0,0.6,2.1,3,MID,Brentford,2.1,0,0,0,50
Simon Adingra,a,,,5.5,1,4.2,2.7,3,MID,Brighton,2.7,5,0,1,55
Benicio Baker-Boaitey,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,45
Carlos Baleba,a,,,5.0,2,1.5,0.0,3,MID,Brighton,0.0,90,1,2,50
Valentín Barco,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Brighton,0.0,0,0,0,40
Amario Cozier-Duberry,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,45
Mahmoud Dahoud,u,0.0,0.0,4.9,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,49
Lewis Dunk,a,,,4.5,2,3.8,2.3,3,DEF,Brighton,2.3,90,1,2,45
Julio Enciso,a,100.0,100.0,5.4,1,1.2,-0.3,3,MID,Brighton,-0.3,5,0,1,54
Pervis Estupiñán,a,100.0,100.0,5.0,1,0.8,-0.7,3,DEF,Brighton,-0.7,18,0,1,50
Evan Ferguson,a,100.0,100.0,5.5,0,0.5,-1.0,3,FWD,Brighton,-1.0,0,0,0,55
Billy Gilmour,u,0.0,0.0,5.0,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,50
Pascal Groß,u,0.0,0.0,6.5,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,65
Jack Hinshelwood,a,,,5.0,2,2.8,1.3,3,MID,Brighton,1.3,90,1,2,50
Ibrahim Osman,u,0.0,0.0,5.0,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,50
Igor Julio dos Santos de Paulo,a,,,4.4,0,0.5,-1.0,3,DEF,Brighton,-1.0,0,0,0,44
João Pedro Junqueira de Jesus,a,,,5.7,8,6.5,5.0,3,FWD,Brighton,5.0,90,1,8,56
Kacper Kozłowski,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,45
Solly March,d,50.0,0.0,6.5,0,0.2,0.0,3,MID,Brighton,0.0,0,0,0,65
Adrian Mazilu,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,45
James Milner,d,75.0,,5.0,1,1.7,0.7,3,MID,Brighton,0.7,16,1,1,50
Yankuba Minteh,a,100.0,100.0,5.5,4,3.8,2.3,3,MID,Brighton,2.3,71,1,4,55
Mitoma Kaoru,a,,,6.6,2,5.8,4.3,3,MID,Brighton,4.3,84,1,2,66
Jakub Moder,a,,,4.5,0,0.5,-1.0,3,MID,Brighton,-1.0,0,0,0,45
Mark O’Mahony,u,0.0,0.0,4.5,0,0.0,0.0,3,FWD,Brighton,0.0,0,0,0,45
Odeluga Offiah,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Brighton,0.0,0,0,0,40
Cameron Peupion,a,,,4.5,0,0.5,-1.0,3,MID,Brighton,-1.0,0,0,0,45
Jeremy Sarmiento Morante,u,0.0,0.0,4.9,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,49
Jason Steele,a,,,4.5,0,3.5,2.0,3,GK,Brighton,2.0,0,0,0,45
Deniz Undav,u,0.0,0.0,5.5,0,0.0,0.0,3,FWD,Brighton,0.0,0,0,0,55
Jan Paul van Hecke,a,,,4.5,2,3.5,2.0,3,DEF,Brighton,2.0,90,1,2,45
Joël Veltman,d,75.0,,4.5,2,3.4,3.0,3,DEF,Brighton,3.0,71,1,2,45
Bart Verbruggen,a,100.0,100.0,4.5,4,1.8,0.3,3,GK,Brighton,0.3,90,1,4,45
Adam Webster,a,,,4.5,0,0.8,-0.7,3,DEF,Brighton,-0.7,0,0,0,45
Danny Welbeck,a,,,5.7,2,8.2,6.7,3,FWD,Brighton,6.7,84,1,2,56
Mats Wieffer,d,50.0,50.0,5.0,0,1.2,0.5,3,MID,Brighton,0.5,0,0,0,50
Brajan Gruda,d,50.0,50.0,5.5,0,0.2,-0.5,3,MID,Brighton,-0.5,0,0,0,55
Yasin Ayari,a,,,5.0,2,1.8,0.3,3,MID,Brighton,0.3,73,0,2,50
Andrew Moran,u,0.0,0.0,5.0,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,50
Carl Rushworth,u,0.0,0.0,4.0,0,0.0,0.0,3,GK,Brighton,0.0,0,0,0,40
Georginio Rutter,a,,,5.5,1,1.5,0.0,3,MID,Brighton,0.0,18,0,1,55
Ferdi Kadioglu,a,,,4.5,0,2.5,1.0,3,DEF,Brighton,1.0,0,0,0,45
Matt O'Riley,i,0.0,0.0,5.5,0,0.0,0.0,3,MID,Brighton,0.0,0,0,0,55
Andrey Nascimento dos Santos,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Chelsea,0.0,0,0,0,45
Ângelo Gabriel Borges Damaceno,u,0.0,,4.5,0,0.0,0.0,3,MID,Chelsea,0.0,0,0,0,45
Benoît Badiashile,a,,,4.5,0,0.0,0.0,3,DEF,Chelsea,0.0,0,0,0,45
Lucas Bergström,a,,,4.0,0,0.0,0.0,3,GK,Chelsea,0.0,0,0,0,40
Marcus Bettinelli,a,,,4.0,0,0.0,0.0,3,GK,Chelsea,0.0,0,0,0,40
Moisés Caicedo Corozo,a,,,5.0,2,1.7,1.7,3,MID,Chelsea,1.7,90,1,2,50
Cesare Casadei,a,,,4.5,0,0.0,0.0,3,MID,Chelsea,0.0,0,0,0,45
Ben Chilwell,a,,,4.9,0,0.0,0.0,3,DEF,Chelsea,0.0,0,0,0,49
Carney Chukwuemeka,a,,,4.9,0,0.0,0.0,3,MID,Chelsea,0.0,0,0,0,49
Levi Colwill,a,,,4.5,2,1.3,1.3,3,DEF,Chelsea,1.3,90,1,2,45
Marc Cucurella Saseta,a,,,5.0,2,1.3,1.3,3,DEF,Chelsea,1.3,90,1,2,50
David Datro Fofana,a,,,5.4,0,0.0,0.0,3,FWD,Chelsea,0.0,0,0,0,54
Deivid Washington de Souza Eugênio,a,,,5.0,0,0.0,0.0,3,FWD,Chelsea,0.0,0,0,0,50
Kiernan Dewsbury-Hall,a,,,5.9,0,0.7,0.7,3,MID,Chelsea,0.7,0,0,0,59
Axel Disasi,a,,,4.4,0,0.0,0.0,3,DEF,Chelsea,0.0,0,0,0,44
Enzo Fernández,a,,,5.0,2,2.0,2.0,3,MID,Chelsea,2.0,90,1,2,50
Conor Gallagher,u,0.0,0.0,5.9,0,0.0,0.0,3,MID,Chelsea,0.0,0,0,0,59
Alfie Gilchrist,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Chelsea,0.0,0,0,0,40
Malo Gusto,d,75.0,,5.0,2,0.8,1.0,3,DEF,Chelsea,1.0,73,1,2,50
Reece James,d,50.0,0.0,5.0,0,0.0,0.0,3,DEF,Chelsea,0.0,0,0,0,50
Omari Kellyman,a,,,4.5,0,0.0,0.0,3,MID,Chelsea,0.0,0,0,0,45
Roméo Lavia,d,50.0,0.0,4.5,0,0.3,0.0,3,MID,Chelsea,0.0,0,0,0,45
Romelu Lukaku Bolingoli,u,0.0,0.0,6.3,0,0.0,0.0,3,FWD,Chelsea,0.0,0,0,0,63
Malang Sarr,u,0.0,0.0,4.5,0,0.0,0.0,3,DEF,Chelsea,0.0,0,0,0,45
Noni Madueke,a,,,6.6,2,7.3,7.3,3,MID,Chelsea,7.3,85,1,2,65
Marc Guiu Paz,a,,,5.0,0,0.3,0.3,3,FWD,Chelsea,0.3,0,0,0,50
Mykhailo Mudryk,a,,,6.4,1,0.7,0.7,3,MID,Chelsea,0.7,16,0,1,64
Nicolas Jackson,a,,,7.6,6,6.0,6.0,3,FWD,Chelsea,6.0,90,1,6,76
Christopher Nkunku,a,,,6.2,1,1.0,1.0,3,MID,Chelsea,1.0,4,0,1,63
Cole Palmer,d,75.0,,10.6,6,6.2,8.3,3,MID,Chelsea,8.3,90,1,6,106
Đorđe Petrović,u,0.0,0.0,4.4,0,0.0,0.0,3,GK,Chelsea,0.0,0,0,0,44
Renato Palma Veiga,a,,,4.5,0,0.7,0.7,3,MID,Chelsea,0.7,0,0,0,45
Robert Sánchez,a,,,4.5,2,1.7,1.7,3,GK,Chelsea,1.7,90,1,2,45
Tosin Adarabioyo,a,,,4.4,0,0.0,0.0,3,DEF,Chelsea,0.0,0,0,0,44
Wesley Fofana,a,,,4.5,1,1.0,1.0,3,DEF,Chelsea,1.0,90,1,1,45
Jadon Sancho,a,,,6.3,0,0.0,0.0,3,MID,Man Utd,0.0,0,0,0,63
Pedro Lomba Neto,a,,,6.5,0,1.7,1.7,3,MID,Chelsea,1.7,57,1,0,65
Caleb Wiley,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Chelsea,0.0,0,0,0,40
Filip Jørgensen,a,,,4.4,0,0.0,0.0,3,GK,Chelsea,0.0,0,0,0,44
João Félix Sequeira,a,,,6.5,1,3.5,3.5,3,MID,Chelsea,3.5,32,0,1,65
Eddie Nketiah,a,,,5.9,0,0.5,0.0,3,FWD,Crystal Palace,0.0,0,0,0,59
Trevoh Chalobah,a,,,4.4,0,0.5,0.0,3,DEF,Chelsea,0.0,0,0,0,44
Naouirou Ahamada,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Crystal Palace,0.0,0,0,0,45
Cheick Doucouré,a,,,4.9,4,2.2,1.7,3,MID,Crystal Palace,1.7,40,0,4,49
Chris Richards,a,,,4.5,2,1.5,1.0,3,DEF,Crystal Palace,1.0,90,1,2,45
Chadi Riad Dnanou,i,0.0,0.0,4.4,0,0.0,0.0,3,DEF,Crystal Palace,0.0,0,0,0,45
Nathaniel Clyne,a,,,4.4,2,1.2,0.7,3,DEF,Crystal Palace,0.7,90,1,2,44
Malcolm Ebiowei,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Crystal Palace,0.0,0,0,0,45
Eberechi Eze,a,,,6.9,10,5.2,4.7,3,MID,Crystal Palace,4.7,90,1,10,69
Marc Guéhi,a,,,4.5,2,1.5,1.0,3,DEF,Crystal Palace,1.0,90,1,2,45
Dean Henderson,a,,,4.5,4,2.8,2.3,3,GK,Crystal Palace,2.3,90,1,4,45
Rob Holding,a,,,4.4,0,0.5,0.0,3,DEF,Crystal Palace,0.0,0,0,0,44
Will Hughes,a,100.0,100.0,4.9,0,1.2,0.7,3,MID,Crystal Palace,0.7,49,1,0,49
Daichi Kamada,a,,,5.4,2,1.8,1.3,3,MID,Crystal Palace,1.3,87,1,2,54
Jefferson Lerma Solís,d,75.0,,4.9,0,1.1,1.0,3,MID,Crystal Palace,1.0,0,0,0,49
Jean-Philippe Mateta,a,,,7.4,2,2.2,1.7,3,FWD,Crystal Palace,1.7,68,1,2,75
Matheus França de Oliveira,i,0.0,0.0,4.4,0,0.0,0.0,3,MID,Crystal Palace,0.0,0,0,0,44
Remi Matthews,a,,,4.0,0,0.5,0.0,3,GK,Crystal Palace,0.0,0,0,0,40
Tyrick Mitchell,a,,,4.9,2,1.8,1.3,3,DEF,Crystal Palace,1.3,90,1,2,50
Daniel Muñoz,a,,,5.0,1,2.5,2.0,3,DEF,Crystal Palace,2.0,90,1,1,50
David Ozoh,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Crystal Palace,0.0,0,0,0,45
Jesurun Rak-Sakyi,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Crystal Palace,0.0,0,0,0,45
Jeffrey Schlupp,a,,,4.9,1,1.2,0.7,3,MID,Crystal Palace,0.7,2,0,1,49
Joel Ward,a,,,4.4,0,0.5,0.0,3,DEF,Crystal Palace,0.0,0,0,0,45
Adam Wharton,d,75.0,,5.0,2,1.9,2.0,3,MID,Crystal Palace,2.0,90,1,2,50
Matt Turner,a,,,4.0,0,0.5,0.0,3,GK,Crystal Palace,0.0,0,0,0,40
Ismaïla Sarr,a,,,5.9,1,1.5,1.0,3,MID,Crystal Palace,1.0,21,0,1,59
Franco Umeh-Chibueze,a,,,4.5,0,1.6,1.1,3,MID,Crystal Palace,1.1,0,0,0,45
Justin Devenny,a,,,4.5,0,1.6,1.1,3,MID,Crystal Palace,1.1,0,0,0,45
Asher Agbinone,a,,,4.5,0,1.6,1.1,3,MID,Crystal Palace,1.1,0,0,0,45
Kaden Rodney,a,,,4.5,0,1.6,1.1,3,MID,Crystal Palace,1.1,0,0,0,45
Armando Broja,a,,,5.5,0,0.0,0.0,3,FWD,Everton,0.0,0,0,0,55
Abdoulaye Doucouré,a,,,5.4,1,1.3,1.3,3,MID,Everton,1.3,7,0,1,54
Norberto Bercique Gomes Betuncal,a,,,5.0,1,1.0,1.0,3,FWD,Everton,1.0,2,0,1,50
Jarrad Branthwaite,i,0.0,0.0,4.9,0,0.0,0.0,3,DEF,Everton,0.0,0,0,0,49
Dominic Calvert-Lewin,a,,,5.9,12,5.3,5.3,3,FWD,Everton,5.3,87,1,12,59
Séamus Coleman,a,100.0,100.0,4.4,1,0.3,0.3,3,DEF,Everton,0.3,90,1,1,44
Idrissa Gueye,a,,,5.0,2,2.0,2.0,3,MID,Everton,2.0,90,1,2,50
James Garner,a,100.0,100.0,5.0,0,0.0,0.0,3,MID,Everton,0.0,0,0,0,50
Jack Harrison,a,,,5.4,2,1.7,1.7,3,MID,Everton,1.7,90,1,2,55
Mason Holgate,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Everton,0.0,0,0,0,40
Tim Iroegbunam,a,,,4.5,1,1.7,1.7,3,MID,Everton,1.7,90,1,1,45
João Neves Virgínia,a,,,4.0,0,0.0,0.0,3,GK,Everton,0.0,0,0,0,40
Michael Keane,a,,,4.0,6,2.3,2.3,3,DEF,Everton,2.3,90,1,6,40
Neal Maupay,u,0.0,0.0,4.9,0,0.0,0.0,3,FWD,Everton,0.0,0,0,0,49
Dwight McNeil,a,,,5.4,6,3.3,3.3,3,MID,Everton,3.3,90,1,6,54
Vitalii Mykolenko,a,,,4.4,1,0.7,0.7,3,DEF,Everton,0.7,90,1,1,44
Iliman Ndiaye,a,,,5.4,2,1.3,1.3,3,FWD,Everton,1.3,82,1,2,54
Nathan Patterson,i,0.0,0.0,4.4,0,0.0,0.0,3,DEF,Everton,0.0,0,0,0,44
Jordan Pickford,a,,,4.9,2,1.3,1.3,3,GK,Everton,1.3,90,1,2,49
James Tarkowski,a,100.0,100.0,4.9,1,0.3,0.3,3,DEF,Everton,0.3,90,1,1,49
Youssef Ramalho Chermiti,i,0.0,0.0,5.0,0,0.0,0.0,3,FWD,Everton,0.0,0,0,0,50
Ashley Young,a,100.0,100.0,4.5,0,-0.7,-0.7,3,DEF,Everton,-0.7,0,0,0,45
Jesper Lindstrøm,a,,,5.3,0,0.3,0.3,3,MID,Everton,0.3,0,0,0,54
Jake O'Brien,a,,,4.9,0,0.0,0.0,3,DEF,Everton,0.0,0,0,0,49
Harrison Armstrong,a,,,4.5,0,0.3,0.3,3,MID,Everton,0.3,0,0,0,45
Jenson Metcalfe,u,0.0,,4.5,0,0.0,0.0,3,MID,Everton,0.0,0,0,0,45
Asmir Begovic,a,,,4.0,0,0.0,0.0,3,GK,Everton,0.0,0,0,0,40
Roman Dixon,a,,,4.0,0,0.0,0.0,3,DEF,Everton,0.0,0,0,0,40
Reiss Nelson,a,,,5.0,0,0.3,0.8,3,MID,Fulham,0.8,0,0,0,50
Emile Smith Rowe,a,,,5.6,2,5.0,5.5,3,MID,Fulham,5.5,71,1,2,56
Joachim Andersen,a,,,4.4,0,0.0,0.5,3,DEF,Fulham,0.5,0,0,0,45
Adama Traoré,a,,,5.0,9,5.7,6.2,3,MID,Fulham,6.2,90,1,9,50
Andreas Hoelgebaum Pereira,a,,,5.4,2,1.7,2.2,3,MID,Fulham,2.2,86,1,2,55
Calvin Bassey,a,,,4.5,2,1.7,2.2,3,DEF,Fulham,2.2,90,1,2,45
Steven Benda,a,,,4.0,0,0.0,0.5,3,GK,Fulham,0.5,0,0,0,40
Tom Cairney,a,,,4.9,1,0.3,0.8,3,MID,Fulham,0.8,3,0,1,49
Timothy Castagne,a,,,4.4,0,0.0,0.5,3,DEF,Fulham,0.5,0,0,0,44
Issa Diop,a,,,4.5,2,2.0,2.5,3,DEF,Fulham,2.5,90,1,2,45
Luke Harris,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Fulham,0.0,0,0,0,45
Alex Iwobi,a,,,5.5,2,4.0,4.5,3,MID,Fulham,4.5,86,1,2,55
Bernd Leno,a,,,5.0,3,3.0,3.5,3,GK,Fulham,3.5,90,1,3,50
Saša Lukić,a,,,5.0,1,1.7,2.2,3,MID,Fulham,2.2,86,1,1,50
Kevin Mbabu,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Fulham,0.0,0,0,0,40
Rodrigo Muniz Carvalho,a,,,6.1,2,2.0,2.5,3,FWD,Fulham,2.5,78,1,2,61
Raúl Jiménez,a,,,5.4,1,1.0,1.5,3,FWD,Fulham,1.5,11,0,1,55
Tim Ream,u,0.0,0.0,4.5,0,0.0,0.0,3,DEF,Fulham,0.0,0,0,0,45
Harrison Reed,a,,,4.9,1,1.0,1.5,3,MID,Fulham,1.5,3,0,1,50
Antonee Robinson,a,,,4.6,4,4.3,4.8,3,DEF,Fulham,4.8,90,1,4,46
Jay Stansfield,u,0.0,0.0,5.0,0,0.0,0.0,3,FWD,Fulham,0.0,0,0,0,50
Kenny Tete,a,,,4.5,2,2.0,2.5,3,DEF,Fulham,2.5,90,1,2,45
Harry Wilson,a,,,5.4,1,0.7,1.2,3,MID,Fulham,1.2,3,0,1,54
Ryan Sessegnon,a,,,4.4,0,0.0,0.5,3,DEF,Fulham,0.5,0,0,0,44
Jorge Cuenca Barreno,a,,,4.4,0,0.0,0.5,3,DEF,Fulham,0.5,0,0,0,45
Josh King,a,,,4.5,0,0.0,0.5,3,MID,Fulham,0.5,0,0,0,45
Martial Godo,a,,,4.5,0,0.0,0.5,3,MID,Fulham,0.5,0,0,0,45
Sander Berge,a,,,5.0,1,0.5,1.0,3,MID,Fulham,1.0,18,0,1,50
Ali Al-Hamadi,a,,,5.0,0,-0.2,-0.2,3,FWD,Ipswich,-0.2,9,0,0,50
Elkan Baggott,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Ipswich,0.0,0,0,0,40
Nathan Broadhead,d,50.0,0.0,4.9,0,-0.2,0.0,3,MID,Ipswich,0.0,0,0,0,50
Cameron Burgess,a,,,4.0,0,-0.5,-0.5,3,DEF,Ipswich,-0.5,0,0,0,40
Wes Burns,i,0.0,0.0,4.9,0,0.0,0.0,3,MID,Ipswich,0.0,0,0,0,49
Conor Chaplin,a,,,5.4,1,0.8,0.8,3,MID,Ipswich,0.8,2,0,1,54
Harry Clarke,i,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Ipswich,0.0,0,0,0,40
Leif Davis,a,,,4.5,7,2.2,2.2,3,DEF,Ipswich,2.2,90,1,7,45
Liam Delap,a,,,5.5,7,3.2,3.2,3,FWD,Ipswich,3.2,80,1,7,55
George Edmundson,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Ipswich,0.0,0,0,0,40
Jacob Greaves,a,,,4.0,2,0.5,0.5,3,DEF,Ipswich,0.5,90,1,2,40
Marcus Myers-Harness,u,0.0,0.0,4.9,0,0.0,0.0,3,MID,Ipswich,0.0,0,0,0,49
George Hirst,i,0.0,0.0,5.4,0,0.0,0.0,3,FWD,Ipswich,0.0,0,0,0,54
Cameron Humphreys,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Ipswich,0.0,0,0,0,45
Omari Giraud-Hutchinson,a,,,5.5,2,1.2,1.2,3,MID,Ipswich,1.2,90,1,2,55
Ben Johnson,a,,,4.0,0,0.5,0.5,3,DEF,Ipswich,0.5,0,0,0,40
Freddie Ladapo,u,0.0,0.0,4.5,0,0.0,0.0,3,FWD,Ipswich,0.0,0,0,0,45
Massimo Luongo,a,,,4.5,0,0.8,0.8,3,MID,Ipswich,0.8,0,0,0,45
Sam Morsy,a,,,4.9,1,0.8,0.8,3,MID,Ipswich,0.8,90,1,1,50
Corrie Ndaba,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Ipswich,0.0,0,0,0,40
Cieran Slicker,a,,,4.0,0,-0.5,-0.5,3,GK,Ipswich,-0.5,0,0,0,40
Jack Taylor,a,,,4.9,0,0.2,0.2,3,MID,Ipswich,0.2,0,0,0,49
Axel Tuanzebe,a,,,4.0,2,0.5,0.5,3,DEF,Ipswich,0.5,90,1,2,40
Christian Walton,a,,,4.5,0,0.2,0.2,3,GK,Ipswich,0.2,0,0,0,45
Luke Woolfenden,a,,,4.0,2,0.2,0.2,3,DEF,Ipswich,0.2,90,1,2,40
Kalvin Phillips,a,100.0,100.0,5.0,2,0.2,0.2,3,MID,Ipswich,0.2,69,1,2,50
Arijanet Muric,a,100.0,100.0,4.4,3,0.5,0.5,3,GK,Ipswich,0.5,90,1,3,44
Conor Townsend,a,,,4.0,0,-0.5,-0.5,3,DEF,Ipswich,-0.5,0,0,0,40
Sam Szmodics,a,,,6.0,2,2.5,2.5,3,MID,Ipswich,2.5,80,1,2,60
Jens Cajuste,a,,,4.5,1,0.0,0.0,3,MID,Ipswich,0.0,20,0,1,45
Dara O'Shea,a,,,4.0,0,0.5,0.5,3,DEF,Ipswich,0.5,0,0,0,40
Jack Clarke,a,,,5.5,1,1.5,1.5,3,MID,Ipswich,1.5,9,0,1,55
Chiedozie Ogbene,a,,,5.0,2,1.1,1.1,3,MID,Ipswich,1.1,87,1,2,50
Facundo Buonanotte,a,,,5.0,6,3.8,3.8,3,MID,Leicester,3.8,22,0,6,50
Jordan Ayew,a,,,5.4,2,0.5,0.5,3,MID,Leicester,0.5,66,1,2,54
Odsonne Edouard,n,0.0,,5.4,0,0.0,0.5,3,FWD,Leicester,0.5,0,0,0,54
Boubakary Soumaré,a,,,4.5,0,-0.2,-0.2,3,MID,Leicester,-0.2,0,0,0,45
Tom Cannon,u,0.0,0.0,4.5,0,0.0,0.0,3,FWD,Leicester,0.0,0,0,0,45
Hamza Choudhury,a,,,4.5,0,-0.5,-0.5,3,MID,Leicester,-0.5,0,0,0,45
Conor Coady,a,100.0,100.0,4.0,0,-0.5,-0.5,3,DEF,Leicester,-0.5,0,0,0,40
Patson Daka,i,0.0,0.0,4.9,0,0.0,0.0,3,FWD,Leicester,0.0,0,0,0,49
Bobby De Cordova-Reid,a,,,5.4,1,1.2,1.2,3,MID,Leicester,1.2,1,0,1,55
Wout Faes,a,,,4.1,1,2.5,2.5,3,DEF,Leicester,2.5,90,1,1,41
Michael Golding,a,,,4.5,0,-0.5,-0.5,3,MID,Leicester,-0.5,0,0,0,45
Mads Hermansen,a,,,4.5,2,1.8,1.8,3,GK,Leicester,1.8,90,1,2,45
Daniel Iversen,a,,,4.0,0,-0.5,-0.5,3,GK,Leicester,-0.5,0,0,0,40
James Justin,a,,,4.5,1,0.8,0.8,3,DEF,Leicester,0.8,90,1,1,45
Victor Kristiansen,a,,,4.5,1,0.5,0.5,3,DEF,Leicester,0.5,90,1,1,45
Wanya Marçal-Madivádua,u,0.0,0.0,4.5,0,0.0,0.0,3,MID,Leicester,0.0,0,0,0,45
Stephy Mavididi,a,,,5.4,1,0.5,0.5,3,MID,Leicester,0.5,23,0,1,54
Kasey McAteer,a,,,4.9,1,0.5,0.5,3,MID,Leicester,0.5,1,0,1,49
Wilfred Ndidi,a,,,5.0,5,2.5,2.5,3,MID,Leicester,2.5,88,1,5,50
Caleb Okoli,a,,,4.0,0,-0.5,-0.5,3,DEF,Leicester,-0.5,90,1,0,40
Ricardo Barbosa Pereira,a,,,4.4,0,-0.5,-0.5,3,DEF,Leicester,-0.5,0,0,0,44
Harry Souttar,u,0.0,0.0,4.0,0,0.0,0.0,3,DEF,Leicester,0.0,0,0,0,40
Jakub Stolarczyk,i,0.0,0.0,4.0,0,0.0,0.0,3,GK,Leicester,0.0,0,0,0,40
Luke Thomas,a,,,4.0,0,-0.5,-0.5,3,DEF,Leicester,-0.5,0,0,0,40
Jamie Vardy,a,100.0,100.0,5.6,1,3.2,3.2,3,FWD,Leicester,3.2,90,1,1,56
Jannik Vestergaard,a,,,4.0,0,0.2,0.2,3,DEF,Leicester,0.2,0,0,0,40
Danny Ward,a,,,4.0,0,-0.5,-0.5,3,GK,Leicester,-0.5,0,0,0,40
Harry Winks,a,,,4.5,1,1.2,1.2,3,MID,Leicester,1.2,90,1,1,45
Oliver Skipp,a,,,4.9,1,0.2,0.2,3,MID,Leicester,0.2,67,1,1,50
Abdul Fatawu,a,,,5.5,2,3.5,3.5,3,MID,Leicester,3.5,67,1,2,55
