name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw,position,team,xP,minutes,starts,total_points,value
Harry Souttar,u,0.0,0.0,4.0,0,0.0,0.0,17,DEF,Leicester,0.0,0,0,0,40
Jakub Stolarczyk,a,100.0,75.0,4.0,0,-1.0,0.0,17,GK,Leicester,0.0,0,0,0,40
Luke Thomas,a,,,3.9,0,-1.0,0.0,17,DEF,Leicester,0.0,0,0,0,39
Jamie Vardy,d,75.0,100.0,5.6,2,2.8,4.8,17,FWD,Leicester,4.3,90,1,2,56
Jannik Vestergaard,a,100.0,100.0,4.0,-1,-1.0,0.0,17,DEF,Leicester,0.0,45,1,-1,40
Maxence Lacroix,a,,,4.5,7,4.5,3.5,15,DEF,Crystal Palace,3.5,90,1,7,45
Danny Ward,a,,,4.0,1,-0.6,0.4,17,GK,Leicester,0.3,90,1,1,40
Harry Winks,a,100.0,100.0,4.5,1,-0.8,0.2,17,MID,Leicester,0.3,45,0,1,45
Oliver Skipp,a,,,4.8,1,-0.2,0.8,17,MID,Leicester,0.8,45,1,1,48
Abdul Fatawu,i,0.0,0.0,5.2,0,0.0,0.0,17,MID,Leicester,0.0,0,0,0,52
Will Alves,a,,,4.5,0,-1.0,0.0,17,MID,Leicester,0.0,0,0,0,45
Ben Nelson,u,0.0,0.0,4.0,0,0.0,0.0,17,DEF,Leicester,0.0,0,0,0,40
Bilal El Khannouss,a,,,4.8,1,2.8,3.8,17,MID,Leicester,3.5,53,1,1,48
Henry Cartwright,a,,,4.5,0,-1.0,0.0,17,MID,Leicester,0.0,0,0,0,45
Alisson Ramses Becker,a,100.0,100.0,5.4,1,1.5,1.0,17,GK,Liverpool,0.9,90,1,1,54
Trent Alexander-Arnold,a,100.0,100.0,7.1,4,5.8,5.3,17,DEF,Liverpool,4.3,90,1,4,70
Stefan Bajčetić Maquieira,u,0.0,0.0,4.5,0,0.0,0.0,17,MID,Liverpool,0.0,0,0,0,45
Conor Bradley,i,0.0,0.0,4.7,0,0.0,0.0,17,DEF,Liverpool,0.0,0,0,0,47
Bobby Clark,u,0.0,0.0,4.5,0,0.0,0.0,17,MID,Liverpool,0.0,0,0,0,45
Darwin Núñez Ribeiro,a,,,7.1,1,2.5,2.0,17,FWD,Liverpool,2.1,3,0,1,71
Diogo Teixeira da Silva,a,100.0,100.0,7.2,1,3.2,2.7,17,MID,Liverpool,2.3,22,0,1,72
Ben Doak,u,0.0,0.0,4.5,0,0.0,0.0,17,MID,Liverpool,0.0,0,0,0,45
Harvey Elliott,a,100.0,100.0,5.2,1,1.8,1.3,17,MID,Liverpool,1.1,3,0,1,52
Endo Wataru,a,,,4.6,0,1.0,0.5,17,MID,Liverpool,0.7,0,0,0,47
Cody Gakpo,a,,,7.2,1,6.2,5.7,17,FWD,Liverpool,4.9,67,1,1,71
Joe Gomez,a,,,4.9,1,3.2,2.7,17,DEF,Liverpool,2.3,90,1,1,49
Ryan Gravenberch,a,,,5.0,2,2.8,2.3,17,MID,Liverpool,2.9,90,1,2,50
Curtis Jones,a,100.0,100.0,5.3,1,3.5,3.0,17,MID,Liverpool,2.9,22,0,1,53
Caoimhin Kelleher,a,,,4.4,0,3.2,2.7,17,GK,Liverpool,3.7,0,0,0,45
Ibrahima Konaté,i,0.0,0.0,5.1,0,0.0,0.0,17,DEF,Liverpool,0.0,0,0,0,51
Luis Díaz,a,,,7.5,13,6.2,5.7,17,MID,Liverpool,4.9,86,1,13,74
Mohamed Salah,a,,,13.5,21,15.2,14.7,17,MID,Liverpool,14.5,86,1,21,134
Alexis Mac Allister,a,100.0,100.0,6.2,7,3.8,3.3,17,MID,Liverpool,2.9,67,1,7,62
James McConnell,a,100.0,100.0,4.4,0,1.0,0.5,17,MID,Liverpool,0.5,0,0,0,44
Tyler Morton,a,100.0,100.0,4.4,0,1.0,0.5,17,MID,Liverpool,0.5,0,0,0,44
